Organism Name,# of essential genes,NCBI Taxonomy ID
Actinomyces odontolyticus,263,411466
Actinomyces sp. F0310,23,888052
Actinomyces sp. F0311,260,1321775
Actinomyces sp. F0330,487,653386
Actinomyces sp. F0332,60,649743
Actinomyces sp. F0337,423,706439
Actinomyces sp. F0384,336,944560
Actinomyces sp. F0386,394,762963
Actinomyces sp. F0400,270,888056
Actinomyces sp. HPA0247,50,1203556
Actinomyces sp. ICM39,241,1105029
Actinomyces sp. ICM47,282,936548
Actinomyces sp. ph3,81,1118058
Actinomyces sp. S4C9,142,1219581
Actinomyces sp. S6Spd3,262,1284680
Actinomyces suimastitidis,308,1120946
Actinomyces timonensis,408,521393
Actinomyces turicensis,101,883077
Actinomyces urogenitalis DSM15434,337,525246
Actinomyces urogenitalis S6C4,135,1284679
Actinomyces vaccimaxillae,292,1120947
Actinomyces viscosus,474,562973
Actinomycetospora chiangmaiensis,1623,1120948
Actinoplanes friuliensis,587,1246995
Actinoplanes globisporus,2827,1120949
Actinoplanes missouriensis,1720,512565
Actinoplanes sp. N902109,971,649831
Actinoplanes sp. SE50110,34,134676
Actinoplanes subtropicus,2576,543632
Actinoplanes utahensis,1976,1869
Actinopolymorpha alba,1584,1120950
Actinopolyspora erythraea,530,414996
Actinopolyspora halophila,1034,1089546
Actinopolyspora mortivallis,807,1050202
Actinosporangium sp. NRRLB3428,2131,1463820
Actinosynnema mirum,649,446462
Adlercreutzia equolifaciens,223,1384484
Advenella kashmirensis W13003,1215,1424334
Advenella mimigardefordensis,577,1247726
Aeromicrobium marinum,655,585531
Aeromicrobium massiliense,525,1033730
Aeromonas diversa,1109,1268237
Aeromonas hydrophila ATCC7966,803,380703
Aeromonas hydrophila YL17,769,1448139
Aeromonas salmonicida,791,382245
Aeromonas sp. AE122,1156,558884
Aeromonas veronii,794,998088
Aestuariibacter salexigens,977,1120953
Aestuariimicrobium kwangyangense,374,1120954
Afifella pfennigii,758,1120956
Afipia birgiae,822,1197906
Afipia broomeae,984,883078
Afipia felis,857,883080
Afipia sp. 1NLS2,814,666684
Afipia sp. OHSUIC4,1024,1297863
Afipia sp. P5210,1082,1429916
Aggregatibacter actinomycetemcomitans D7S1,308,694569
Aggregatibacter actinomycetemcomitans HK1651,337,272556
Aggregatibacter actinomycetemcomitans RhAA1,286,1089447
Aggregatibacter aphrophilus,309,634176
Agrobacterium albertimagni,1139,1156935
Agrobacterium fabrum,103,176299
Agrobacterium radiobacter,1046,311403
Agrobacterium rhizogenes,1073,359
Agrobacterium sp. H133,844,861208
Agrobacterium tumefaciens CCNWGS0286,837,1082932
Agrobacterium tumefaciens Cherry,1230,1281779
Agrobacterium vitis,897,311402
Agrococcus lahaulensis,299,1120958
Agromyces italicus,339,1120959
Agromyces subbeticus,821,1120960
Ahrensia sp. 13GOM1096m,679,1380380
Ahrensia sp. R2A130,793,744979
Akkermansia muciniphila,156,349741
Alcaligenes faecalis,438,511
Alcanivorax borkumensis,368,393595
Alcanivorax dieselolei,562,930169
Alcanivorax hongdengensis,624,1177179
Alcanivorax jadensis,657,1177181
Alcanivorax sp. 19m6,779,1177154
Alcanivorax sp. 43BGOM46m,1023,1380387
Alcanivorax sp. DG881,617,236097
Alcanivorax sp. P2S70,784,1397527
Algicola sagamiensis,839,1120963
Algiphilus aromaticivorans,750,1415780
Aliagarivorans taiwanensis,1104,1120970
Alicycliphilus denitrificans BC,979,596153
Alicycliphilus denitrificans K601,1035,596154
Aliihoeflea sp. 2WW,852,1381123
Aliivibrio salmonicida,629,316275
Alishewanella agri,780,1195246
Alishewanella jeotgali,831,1129374
Alkalilimnicola ehrlichii,417,187272
Alkanindiges illinoisensis,364,1120977
Allochromatium vinosum,695,572477
Allokutzneria albata,954,211114
Alloscardovia omnicolens,86,1120979
alpha proteobacterium BAL199,1678,331869
alpha proteobacterium HIMB114,77,684719
alpha proteobacterium HIMB5,239,859653
alpha proteobacterium HIMB59,285,744985
alpha proteobacterium IMCC14465,133,1220535
alpha proteobacterium JLT2015,679,1234595
alpha proteobacterium L41A,704,1229204
alpha proteobacterium MA2,946,1333998
alpha proteobacterium Mf 105b01,797,1282876
alpha proteobacterium RS24,144,1397666
Alphaproteobacterium SAR116,344,909943
Alteromonadales bacterium TW7,1016,156578
Alteromonas australica,737,589873
Alteromonas macleodii Black,756,1004785
Alteromonas macleodii Deep,766,314275
Alteromonas sp. ALT199,988,1298865
Alteromonas sp. LOR,1097,1537994
Alteromonas sp. SN2,846,715451
Alysiella crassa,245,1120980
Aminobacter sp. J41,997,935261
Amorphus coralli,564,1120983
Amphritea japonica,882,1278309
Amycolatopsis balhimycina,2376,1089545
Amycolatopsis benzoatilytica,497,1089544
Amycolatopsis japonica,952,208439
Amycolatopsis jejuensis,2746,330084
Amycolatopsis mediterranei,1925,749927
Amycolatopsis methanolica,1299,1068978
Amycolatopsis nigrescens,1567,1068980
Amycolatopsis orientalis,1984,1125971
Amycolatopsis rifamycinica,2209,287986
Amycolatopsis vancoresmycina,2555,208444
Amycolicicoccus subflavus,863,443218
Anabaena cylindrica,662,272123
Anabaena sp. 90,474,46234
Anabaena sp. PCC7108,1315,163908
Anabaena variabilis,481,240292
Anaerobiospirillum succiniciproducens,323,1120988
Anaeromyxobacter dehalogenans,1008,290397
Anaeromyxobacter sp. Fw1095,915,404589
Anaplasma centrale,107,574556
Anaplasma marginale Florida,104,320483
Anaplasma marginale Maries,111,234826
Anaplasma phagocytophilum,102,212042
Andreprevotia chitinilytica,1342,1120999
Aquabacterium sp. NJ1,926,1538295
Aquamicrobium defluvii,1159,69279
Aquaspirillum serpens,893,1121004
Aquiluna sp. IMCC13023,72,1081644
Arcanobacterium haemolyticum,209,644284
Arcanobacterium sp. S3PF19,123,1219585
Arcobacter butzleri ED1,319,944546
Arcobacter butzleri RM4018,327,367737
Arcobacter cibarius,490,1442598
Arcobacter nitrofigilis,555,572480
Arcobacter sp. AF1028,563,1355368
Arcobacter sp. AF1440,632,1355374
Arcobacter sp. L,621,944547
Arenimonas composti,680,1121013
Arenimonas malthae,792,1384054
Arenimonas metalli,686,1384056
Arenimonas oryziterrae,687,1121015
Aromatoleum aromaticum,602,76114
Arsenicicoccus bolidensis,729,1121017
Arsenophonus endosymbiont,518,1247024
Arthrobacter arilaitensis,303,861360
Arthrobacter aurescens,602,290340
Arthrobacter castelli,767,1121019
Arthrobacter chlorophenolicus,460,452863
Arthrobacter gangotriensis,812,1276920
Arthrobacter globiformis,1158,1077972
Arthrobacter nicotinovorans,909,1304876
Arthrobacter phenanthrenivorans,321,930171
Arthrobacter sanguinis,350,1121020
Arthrobacter sp. 135MFCol51,930,1158050
Arthrobacter sp. 161MFSha21,753,1151118
Arthrobacter sp. 162MFSha11,915,1151119
Arthrobacter sp. 31Y,917,1115632
Arthrobacter sp. 35W,838,1132441
Arthrobacter sp. 9MFCol31,1052,1150398
Arthrobacter sp. A3,436,595593
Arthrobacter sp. AKYN10,923,1349820
Arthrobacter sp. Br18,39,1312954
Arthrobacter sp. FB24,508,290399
Arthrobacter sp. H14,818,1312959
Arthrobacter sp. M2012083,1003,1197706
Arthrobacter sp. MAN2,981,1101188
Arthrobacter sp. PAO19,500,1096756
Arthrobacter sp. TB23,411,494419
Arthrobacter sp. UNC362MFTsu51,1036,1449044
Arthrospira platensis C1,1102,459495
Arthrospira platensis NIES39,611,696747
Asaia platycodi SF21,618,1382230
Asticcacaulis benevestitus,1134,1121022
Asticcacaulis biprosthecum,1032,715226
Asticcacaulis excentricus,486,573065
Asticcacaulis sp. AC402,788,1282361
Asticcacaulis sp. AC460,973,1282360
Asticcacaulis sp. AC466,917,1282362
Atelocyanobacterium thalassa SIO64986,93,1527444
Atopobium parvulum,130,521095
Atopobium rimae,69,553184
Atopobium sp. BS2,63,936550
Atopobium sp. BV3Ac4,147,1111121
Atopobium sp. F0209,330,1321773
Atopobium sp. F0494,121,1203602
Atopobium vaginae DSM15829,89,525256
Atopobium vaginae PB189T14,55,866774
Aureimonas ureilytica,1356,1121028
Austwickia chelonae,451,1184607
Avibacterium paragallinarum 221,315,1278971
Avibacterium paragallinarum 72,362,948565
Azoarcus sp. BH72,848,62928
Azoarcus sp. KH32C,391,748247
Azorhizobium caulinodans,727,438753
Azorhizobium doebereinerae,1232,1038858
Azospirillum halopraeferens,2141,1121033
Azotobacter vinelandii,734,322710
Azovibrio restrictus,1204,1121035
Bacteriovorax marinus,421,862908
Bacteriovorax sp. BAL6X,366,1201290
Bacteriovorax sp. BSW11IV,783,1353529
Bacteriovorax sp. Seq25V,725,1201288
Bartonella alsatica,203,1094551
Bartonella australis,148,1094489
Bartonella bacilliformis,231,360095
Bartonella birtlesii,196,1201035
Bartonella bovis,201,1094491
Bartonella clarridgeiae,153,696125
Bartonella doshiae,202,1094553
Bartonella elizabethae,226,1408427
Bartonella grahamii,155,634504
Bartonella henselae,153,283166
Bartonella koehlerae,209,1134510
Bartonella melophagi,198,1094557
Bartonella quintana,149,283165
Bartonella rattaustraliani,204,1205681
Bartonella rattimassiliensis,187,1094556
Bartonella rochalimae,192,685782
Bartonella schoenbuchensis,201,1094496
Bartonella senegalensis,225,929794
Bartonella sp. DB56,226,1094755
Bartonella sp. R4,201,928210
Bartonella tamiae,238,1094558
Bartonella taylorii,81,1094560
Bartonella tribocorum,182,382640
Bartonella vinsonii arupensis,231,1094561
Bartonella vinsonii berkhoffii,171,1094497
Bartonella washoensis,221,1094563
Basilea psittacipulmonis,208,1072685
Baumannia cicadellinicola,106,186490
Bdellovibrio bacteriovorus HD100,561,264462
Bdellovibrio bacteriovorus W,322,765869
Bdellovibrio exovorus,206,1184267
Beggiatoa alba,906,395493
Beijerinckia indica,496,395963
Beijerinckia mobilis,752,231434
Belnapia moabensis,1553,1121106
beta proteobacterium CB,253,543913
beta proteobacterium KB13,93,314607
Betaproteobacteria bacterium MOLA814,591,1408164
Beutenbergia cavernae,507,471853
Bibersteinia trehalosi,352,1263831
Bifidobacterium actinocoloniiforme,70,1437605
Bifidobacterium adolescentis,100,1680
Bifidobacterium angulatum,94,518635
Bifidobacterium animalis,83,552531
Bifidobacterium asteroides,95,1147128
Bifidobacterium biavatii,528,1437608
Bifidobacterium bifidum NCIMB41171,204,398513
Bifidobacterium bifidum PRL2010,95,702459
Bifidobacterium bohemicum,70,1437606
Bifidobacterium bombi,58,1341695
Bifidobacterium breve,109,326426
Bifidobacterium callitrichos,258,1437609
Bifidobacterium catenulatum,95,566552
Bifidobacterium choerinum,55,35760
Bifidobacterium coryneforme,94,1687
Bifidobacterium crudilactis,124,327277
Bifidobacterium cuniculi,129,1688
Bifidobacterium dentium,124,401473
Bifidobacterium gallicum,73,561180
Bifidobacterium gallinarum,56,78344
Bifidobacterium longum,88,216816
Bifidobacterium magnum,58,1692
Bifidobacterium merycicum,62,78345
Bifidobacterium minimum,61,1693
Bifidobacterium mongoliense,101,1437603
Bifidobacterium moukalabense,110,1435051
Bifidobacterium pseudocatenulatum,86,547043
Bifidobacterium pseudolongum globosum,62,1690
Bifidobacterium pseudolongum,75,31954
Bifidobacterium psychraerophilum,238,218140
Bifidobacterium pullorum,106,1437600
Bifidobacterium reuteri,251,1437610
Bifidobacterium ruminantium,61,78346
Bifidobacterium scardovii,211,158787
Bifidobacterium sp. 7101,117,1394175
Bifidobacterium sp. A11,112,1394176
Bifidobacterium stellenboschense,129,762211
Bifidobacterium subtile,278,77635
Bifidobacterium thermophilum,87,33905
Bifidobacterium tsurumiense,110,356829
Bilophila wadsworthia 316,732,563192
Bilophila wadsworthia ATCC49260,812,1408428
Blastococcus massiliensis,977,1211815
Blastococcus saxobsidens,775,1146883
Blastococcus sp. URHD0036,1318,1380356
Blastomonas sp. AAP53,839,1248760
Blochmannia floridanus,152,203907
Blochmannia pennsylvanicus,138,291272
Bordetella avium,448,360910
Bordetella bronchiseptica,676,257310
Bordetella hinzii,571,1392838
Bordetella holmesii,531,1247649
Bordetella pertussis 18323,436,568706
Bordetella pertussis Tohama,466,257313
Bordetella petrii,863,94624
Bordetella sp. FB8,1067,1159870
Bordetella trematum,603,123899
Bosea sp. 117,1208,1125973
Bosea sp. LC85,1675,1502851
Bosea sp. UNC402CLCol,1322,1510531
Brachybacterium faecium,349,446465
Brachybacterium paraconglomeratum,448,1064537
Brachybacterium phenoliresistens,693,396014
Brachybacterium squillarum,385,1074488
Brachymonas chironomi,173,1121116
Bradyrhizobiaceae bacterium SG6C,840,709797
Bradyrhizobium elkanii USDA76,1270,398525
Bradyrhizobium elkanii WSM1741,1729,1038859
Bradyrhizobium elkanii WSM2783,2402,1038860
Bradyrhizobium genosp.,2136,936455
Bradyrhizobium japonicum 22,1571,1304877
Bradyrhizobium japonicum in8p8,1987,1304878
Bradyrhizobium japonicum USDA124,1317,1038862
Bradyrhizobium japonicum USDA6,1353,1037409
Bradyrhizobium oligotrophicum,1354,1245469
Bradyrhizobium sp. Ai1a2,1850,196490
Bradyrhizobium sp. ARR65,2162,1040989
Bradyrhizobium sp. BTAi1,1456,288000
Bradyrhizobium sp. Cp53,1880,443598
Bradyrhizobium sp. DFCI1,643,1230476
Bradyrhizobium sp. DOA9,1685,1126627
Bradyrhizobium sp. Ec33,1683,189753
Bradyrhizobium sp. OHSUIII,1675,1297865
Bradyrhizobium sp. ORS278,1197,114615
Bradyrhizobium sp. S23321,1200,335659
Bradyrhizobium sp. thb2,2223,172088
Bradyrhizobium sp. Tv2a2,1634,113395
Bradyrhizobium sp. URHA0002,1482,1298867
Bradyrhizobium sp. URHD0069,1487,1380355
Bradyrhizobium sp. WSM1253,1916,319003
Bradyrhizobium sp. WSM1743,1742,318996
Bradyrhizobium sp. WSM2793,1996,1038866
Bradyrhizobium sp. WSM3983,1657,1038867
Brenneria sp. EniD312,1079,598467
Brevibacterium casei,637,1229781
Brevibacterium linens,400,321955
Brevibacterium massiliense,128,1176165
Brevibacterium mcbrellneri,404,585530
Brevibacterium senegalense,625,1033736
Brevibacterium sp. VCM10,629,1381751
Brevundimonas aveniformis,374,1121123
Brevundimonas bacteroides,472,1121124
Brevundimonas diminuta 4704,659,1035191
Brevundimonas naejangsanensis,339,588932
Brevundimonas sp. BAL3,875,391600
Brevundimonas subvibrioides,336,633149
Bryobacter aggregatus,1060,1340493
Buchnera aphidicola Ak,134,1005090
Buchnera aphidicola BCc,96,372461
Buchnera aphidicola Ctu,97,261317
Buchnera aphidicola G002,144,1009858
Buchnera aphidicola Sg,128,198804
Buchnera aphidicola Ua,140,1005057
Budvicia aquatica,1172,1111728
Burkholderia acidipaludis,576,1218074
Burkholderia ambifaria,928,339670
Burkholderia bannensis,2115,1218075
Burkholderia bryophila,1824,1169143
Burkholderia cenocepacia,917,216591
Burkholderia cepacia,1135,292
Burkholderia dilworthii,2047,948106
Burkholderia ferrariae,1679,1218076
Burkholderia gladioli,1323,999541
Burkholderia glumae,949,626418
Burkholderia grimmiae,1926,1071679
Burkholderia mallei,225,243160
Burkholderia mimosarum,2189,1038869
Burkholderia multivorans,889,395019
Burkholderia nodosa,2546,1121127
Burkholderia oklahomensis,577,342113
Burkholderia phenoliruptrix,1262,1229205
Burkholderia phymatum,1099,391038
Burkholderia phytofirmans,1250,398527
Burkholderia pseudomallei ABCPW111,943,1434929
Burkholderia pseudomallei K96243,778,272560
Burkholderia rhizoxinica,336,882378
Burkholderia sacchari,1664,159450
Burkholderia sordidicola,2562,196367
Burkholderia sp. 9120,302,1500897
Burkholderia sp. CCGE1001,922,640510
Burkholderia sp. CCGE1002,1138,640511
Burkholderia sp. CCGE1003,1141,640512
Burkholderia sp. JPY347,1592,667632
Burkholderia sp. K24,1787,1472716
Burkholderia sp. lig30,1590,1192124
Burkholderia sp. MP1,2209,1458357
Burkholderia sp. WSM2230,399,944435
Burkholderia sp. YI23,842,1097668
Burkholderia terrae,2498,1218084
Burkholderia vietnamiensis,1134,269482
Burkholderia xenovorans,1626,266265
Burkholderiaceae sp. Mortierella,452,1562701
Burkholderiales bacterium 1147,321,469610
Burkholderiales bacterium JOSHI001,254,864051
Buttiauxella agrestis,1217,1006004
Caedibacter acanthamoebae,90,244581
Caenispirillum salinarum,1310,1238182
Caldimonas manganoxidans,761,1265502
Calditerrivibrio nitroreducens,293,768670
Calothrix sp. 3363,698,1337936
Calothrix sp. PCC6303,676,1170562
Calothrix sp. PCC7103,2374,32057
Calothrix sp. PCC7507,897,99598
Campylobacter coli 76339,221,1367491
Campylobacter concisus 13826,220,360104
Campylobacter concisus ATCC51562,185,1242969
Campylobacter cuniculorum,208,1121267
Campylobacter fetus 8240,259,360106
Campylobacter fetus testudinum,270,1244528
Campylobacter fetus venerealis,224,983328
Campylobacter gracilis,169,553220
Campylobacter hominis,161,360107
Campylobacter jejuni 414,101,683083
Campylobacter jejuni 81176,154,354242
Campylobacter jejuni NCTC11168,228,192222
Campylobacter lari,183,306263
Campylobacter rectus,88,553218
Campylobacter showae CSUNSWCD,198,1244083
Campylobacter showae RM3277,121,553219
Campylobacter sp. 1485E,208,1244531
Campylobacter sp. CIT045,88,1448857
Campylobacter sp. MIT975078,89,1548153
Campylobacter sputorum,218,32024
Campylobacter upsaliensis,117,306264
Campylobacter ureolyticus,155,827
candidate division ZIXI,288,1379698
Carnimonas nigrificans,360,1336245
Castellaniella defragrans,498,1437824
Catelliglobosispora koreensis,1623,1121272
Catenovulum agarivorans DS2,1188,1328313
Catenulispora acidiphila,1299,479433
Catenuloplanes japonicus,1814,33876
Caulobacter crescentus CB15,593,190650
Caulobacter crescentus OR37,786,1292034
Caulobacter henricii,705,69395
Caulobacter segnis,558,509190
Caulobacter sp. K31,764,366602
Caulobacter sp. UNC358MFTsu51,657,1449049
Caulobacteraceae bacterium PMMR1,538,1382303
Cedecea neteri,580,158822
Celeribacter baekdonensis,1120,1208323
Cellulomonas fimi,555,590998
Cellulomonas flavigena,466,446466
Cellulomonas massiliensis,548,1095767
Cellulomonas sp. HZM,648,1454010
Cellulomonas sp. KRMCY2,860,1304865
Cellulomonas sp. URHE0023,870,1380354
Cellulosimicrobium cellulans,458,935839
Cellvibrio gilvus,409,593907
Cellvibrio japonicus,605,498211
Cellvibrio mixtus,1320,1209072
Cellvibrio sp. BR,1290,1134474
Cetobacterium somerae,566,1319815
Chamaesiphon minutus,618,1173020
Chelativorans sp. BNC1,550,266779
Chelativorans sp. J32,1217,935840
Chelatococcus sp. GW1,1130,1211115
Chitinivibrio alkaliphilus,540,1313304
Chlorogloeopsis fritschii,1647,211165
Chondromyces apiculatus,2006,1192034
Chromobacterium violaceum,936,243365
Chromohalobacter salexigens,478,290398
Chroococcidiopsis thermalis,831,251229
Chthoniobacter flavus,1413,497964
Citreicella sp. 357,1217,766499
Citreicella sp. SE45,1117,501479
Citricoccus sp. CH26A,625,1045009
Citrobacter amalonaticus,726,35703
Citrobacter farmeri,816,1114922
Citrobacter rodentium,719,637910
Citrobacter sedlakii,1110,1218086
Citrobacter sp. 302,1167,469595
Citrobacter sp. S77,1302,1080067
Citrobacter youngae,1350,500640
Citromicrobium bathyomarinum,800,685035
Citromicrobium sp. JLT1363,472,517722
Clavibacter michiganensis NCPPB382,232,443906
Clavibacter michiganensis sepedonicus,212,31964
Cobetia crustatorum,1024,553385
Cobetia marina,276,28258
Coleofasciculus chthonoplastes,1766,118168
Collimonas fungivorans,652,1005048
Collinsella intestinalis,264,521003
Collinsella sp. 4847FAA,330,742722
Collinsella stercoris,423,445975
Collinsella tanakaei,419,742742
Colwellia piezophila,1226,1265503
Colwellia psychrerythraea,757,28229
Comamonadaceae bacterium H1,556,1458427
Comamonas aquatica,956,1219031
Comamonas granuli,850,1223521
Comamonas testosteroni CNB2,871,688245
Comamonas testosteroni KF1,1364,399795
Commensalibacter intestini,195,1088868
Commensalibacter sp. MX01,141,1208583
Conchiformibius kuhniae,230,1121351
Conchiformibius steedae,223,1121352
Conexibacter woesei DSM14684,1039,469383
Conexibacter woesei Iso977N,1296,1283299
Congregibacter litoralis,781,314285
Coprothermobacter platensis,68,1259795
Coprothermobacter proteolyticus,135,309798
Coraliomargarita akajimensis,291,583355
Corallococcus coralloides,1614,1144275
Coriobacteriaceae bacterium BV3Ac1,64,1111135
Coriobacteriaceae bacterium GD5,322,1232436
Coriobacterium glomerans,163,700015
Corynebacterium accolens,341,525260
Corynebacterium ammoniagenes,204,649754
Corynebacterium amycolatum,325,553204
Corynebacterium argentoratense,202,1348662
Corynebacterium atypicum,124,191610
Corynebacterium aurimucosum,213,548476
Corynebacterium callunae,197,1121353
Corynebacterium capitovis,272,1121354
Corynebacterium casei,203,1285583
Corynebacterium caspium,143,1121355
Corynebacterium ciconiae,349,1121356
Corynebacterium diphtheriae,190,698964
Corynebacterium doosanense,254,558173
Corynebacterium durum,338,1035195
Corynebacterium falsenii,178,1451189
Corynebacterium freiburgense,193,1121360
Corynebacterium freneyi,264,1287475
Corynebacterium genitalium,324,585529
Corynebacterium glucuronolyticum,394,548477
Corynebacterium glutamicum,272,196627
Corynebacterium glycinophilum,348,1404245
Corynebacterium halotolerans,215,1121362
Corynebacterium imitans,191,156978
Corynebacterium jeikeium,198,306537
Corynebacterium kroppenstedtii,239,645127
Corynebacterium lipophiloflavum,290,525263
Corynebacterium lubricantis,415,1121363
Corynebacterium maris,172,1224163
Corynebacterium massiliense,140,1121364
Corynebacterium mastitidis,280,1121365
Corynebacterium matruchotii,351,553207
Corynebacterium nuruki,509,863239
Corynebacterium pilosum,349,1121366
Corynebacterium propinquum,140,1121367
Corynebacterium pseudogenitalium,314,525264
Corynebacterium pseudotuberculosis,192,1719
Corynebacterium pyruviciproducens,309,1125779
Corynebacterium resistens,147,662755
Corynebacterium sp. ATCC6931,184,1487956
Corynebacterium sp. GD7,180,1232427
Corynebacterium sp. JCB,144,1414719
Corynebacterium sp. KPL1859,332,1203566
Corynebacterium sp. KPL1860,298,1203567
Corynebacterium sp. KPL1989,163,1203622
Corynebacterium sp. KPL2004,328,1203632
Corynebacterium sputi,425,1111729
Corynebacterium striatum,213,525268
Corynebacterium terpenotabidum,197,1200352
Corynebacterium timonense,155,1203190
Corynebacterium tuscaniense,85,1401064
Corynebacterium ulcerans,148,945712
Corynebacterium ulceribovis,183,1121370
Corynebacterium urealyticum,91,504474
Corynebacterium variabile,236,858619
Corynebacterium vitaeruminis,302,1224164
Coxiella burnetii,207,227377
Crinalium epipsammum,614,1173022
Cronobacter condimenti,613,1073999
Cryobacterium roopkundense,294,1001240
Cryptobacterium curtum,61,469378
Cupriavidus metallidurans,1708,266264
Cupriavidus sp. amp6,1887,388051
Cupriavidus sp. BIS7,1607,1217718
Cupriavidus taiwanensis,1061,977880
Curtobacterium sp. S6,269,1479623
Cyanobacterium aponinum,402,755178
Cyanobacterium sp. PCC7702,1165,1173021
Cyanobacterium stanieri,341,292563
Cyanobium gracile,329,292564
Cyanobium sp. CACIAM14,546,1496688
Cyanobium sp. PCC7001,279,180281
Cyanothece sp. ATCC51142,504,43989
Cyanothece sp. CCY0110,1402,391612
Cyanothece sp. PCC7424,644,65393
