936136.ARRT01000006_gene4939,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.9
936136.ARRT01000006_gene1523,ARRT01000006_gene1523,Ornithine&nbsp;carbamoyltransferase,98.1
936136.ARRT01000006_gene3987,ARRT01000006_gene3987,annotation&nbsp;not&nbsp;available,98.0
936136.ARRT01000006_gene3212,ARRT01000006_gene3212,annotation&nbsp;not&nbsp;available,98.0
936136.ARRT01000006_gene2460,ARRT01000006_gene2460,annotation&nbsp;not&nbsp;available,98.0
936136.ARRT01000006_gene5055,ARRT01000006_gene5055,annotation&nbsp;not&nbsp;available,98.0
936136.ARRT01000007_gene968,ARRT01000007_gene968,annotation&nbsp;not&nbsp;available,98.0
936136.ARRT01000006_gene3261,ARRT01000006_gene3261,annotation&nbsp;not&nbsp;available,97.9
936136.ARRT01000006_gene1420,ARRT01000006_gene1420,annotation&nbsp;not&nbsp;available,97.9
936136.ARRT01000006_gene5450,ARRT01000006_gene5450,annotation&nbsp;not&nbsp;available,97.9
936136.ARRT01000004_gene6442,ARRT01000004_gene6442,annotation&nbsp;not&nbsp;available,97.9
936136.ARRT01000006_gene5681,ARRT01000006_gene5681,annotation&nbsp;not&nbsp;available,97.9
936136.ARRT01000006_gene4699,ARRT01000006_gene4699,annotation&nbsp;not&nbsp;available,97.8
936136.ARRT01000007_gene1178,ARRT01000007_gene1178,annotation&nbsp;not&nbsp;available,97.8
936136.ARRT01000006_gene3038,ARRT01000006_gene3038,annotation&nbsp;not&nbsp;available,97.8
936136.ARRT01000006_gene4408,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,97.8
936136.ARRT01000006_gene3642,ARRT01000006_gene3642,annotation&nbsp;not&nbsp;available,97.8
936136.ARRT01000006_gene5574,efp,Elongation&nbsp;factor&nbsp;P,97.8
936136.ARRT01000006_gene5002,ARRT01000006_gene5002,annotation&nbsp;not&nbsp;available,97.8
936136.ARRT01000006_gene2995,surE,5'-nucleotidase&nbsp;SurE,97.7
936136.ARRT01000004_gene6426,ARRT01000004_gene6426,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000006_gene4989,ARRT01000006_gene4989,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000006_gene4747,ARRT01000006_gene4747,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000002_gene288,ARRT01000002_gene288,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000006_gene5818,ARRT01000006_gene5818,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,97.7
936136.ARRT01000006_gene2938,ARRT01000006_gene2938,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000006_gene5991,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,97.7
936136.ARRT01000006_gene3522,ARRT01000006_gene3522,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000006_gene2276,betB,NAD/NADP-dependent&nbsp;betaine&nbsp;aldehyde&nbsp;dehydrogenase,97.7
936136.ARRT01000006_gene5517,ARRT01000006_gene5517,annotation&nbsp;not&nbsp;available,97.7
936136.ARRT01000003_gene6334,ARRT01000003_gene6334,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene1558,ARRT01000006_gene1558,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000007_gene1314,ARRT01000007_gene1314,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000002_gene797,ARRT01000002_gene797,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000004_gene6563,ARRT01000004_gene6563,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000002_gene864,ARRT01000002_gene864,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene4003,ARRT01000006_gene4003,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene4801,ugpC,Sn-glycerol-3-phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;UgpC,97.6
936136.ARRT01000006_gene4789,ARRT01000006_gene4789,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene2958,ARRT01000006_gene2958,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene4392,ARRT01000006_gene4392,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene3959,ARRT01000006_gene3959,annotation&nbsp;not&nbsp;available,97.6
936136.ARRT01000006_gene4855,ARRT01000006_gene4855,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000005_gene123,ARRT01000005_gene123,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene3305,ARRT01000006_gene3305,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene3930,ARRT01000006_gene3930,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000004_gene6502,ARRT01000004_gene6502,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene3810,ARRT01000006_gene3810,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000003_gene6134,ARRT01000003_gene6134,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene2962,ARRT01000006_gene2962,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene3226,ARRT01000006_gene3226,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene1875,ARRT01000006_gene1875,annotation&nbsp;not&nbsp;available,97.5
936136.ARRT01000006_gene5793,ARRT01000006_gene5793,annotation&nbsp;not&nbsp;available,97.4
936136.ARRT01000002_gene671,ARRT01000002_gene671,annotation&nbsp;not&nbsp;available,97.4
936136.ARRT01000006_gene5570,ARRT01000006_gene5570,annotation&nbsp;not&nbsp;available,97.4
936136.ARRT01000006_gene2654,ARRT01000006_gene2654,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene3562,ARRT01000006_gene3562,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene5610,ARRT01000006_gene5610,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene1998,ARRT01000006_gene1998,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene3582,ARRT01000006_gene3582,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene3678,cobD,Cobalamin&nbsp;biosynthesis&nbsp;protein&nbsp;CobD,97.3
936136.ARRT01000006_gene2623,ARRT01000006_gene2623,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene1948,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,97.3
936136.ARRT01000007_gene911,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,97.3
936136.ARRT01000005_gene118,ARRT01000005_gene118,annotation&nbsp;not&nbsp;available,97.3
936136.ARRT01000006_gene3073,clpA,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000006_gene2682,ARRT01000006_gene2682,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000004_gene6457,ARRT01000004_gene6457,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000006_gene4898,ARRT01000006_gene4898,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000005_gene191,ARRT01000005_gene191,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000002_gene292,ARRT01000002_gene292,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000006_gene1624,ARRT01000006_gene1624,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000006_gene2395,ARRT01000006_gene2395,annotation&nbsp;not&nbsp;available,97.2
936136.ARRT01000006_gene5224,ARRT01000006_gene5224,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000005_gene210,ARRT01000005_gene210,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000003_gene6335,ARRT01000003_gene6335,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000002_gene538,ARRT01000002_gene538,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000007_gene899,ARRT01000007_gene899,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000006_gene4240,ARRT01000006_gene4240,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000006_gene2919,cpdB,annotation&nbsp;not&nbsp;available,97.1
936136.ARRT01000006_gene2794,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,97.1
936136.ARRT01000006_gene2597,lpxF,Lipid&nbsp;A&nbsp;4'-phosphatase,97.1
936136.ARRT01000004_gene6451,ARRT01000004_gene6451,annotation&nbsp;not&nbsp;available,97.0
936136.ARRT01000006_gene4738,ARRT01000006_gene4738,annotation&nbsp;not&nbsp;available,97.0
936136.ARRT01000001_gene6,ARRT01000001_gene6,annotation&nbsp;not&nbsp;available,97.0
936136.ARRT01000002_gene820,ARRT01000002_gene820,annotation&nbsp;not&nbsp;available,97.0
936136.ARRT01000004_gene6575,ARRT01000004_gene6575,annotation&nbsp;not&nbsp;available,97.0
936136.ARRT01000007_gene1237,hutH,annotation&nbsp;not&nbsp;available,96.9
936136.ARRT01000006_gene1555,ARRT01000006_gene1555,annotation&nbsp;not&nbsp;available,96.9
936136.ARRT01000006_gene1918,ARRT01000006_gene1918,3-phosphoshikimate&nbsp;1-carboxyvinyltransferase,96.9
936136.ARRT01000006_gene5194,ARRT01000006_gene5194,annotation&nbsp;not&nbsp;available,96.9
936136.ARRT01000006_gene5139,ARRT01000006_gene5139,annotation&nbsp;not&nbsp;available,96.9
936136.ARRT01000006_gene3893,ARRT01000006_gene3893,annotation&nbsp;not&nbsp;available,96.9
936136.ARRT01000002_gene732,ARRT01000002_gene732,annotation&nbsp;not&nbsp;available,96.8
936136.ARRT01000006_gene3304,ARRT01000006_gene3304,annotation&nbsp;not&nbsp;available,96.8
936136.ARRT01000006_gene1980,ARRT01000006_gene1980,annotation&nbsp;not&nbsp;available,96.8
936136.ARRT01000006_gene2461,ARRT01000006_gene2461,annotation&nbsp;not&nbsp;available,96.8
936136.ARRT01000006_gene5647,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,96.7
936136.ARRT01000006_gene1935,ARRT01000006_gene1935,annotation&nbsp;not&nbsp;available,96.7
936136.ARRT01000006_gene2598,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,96.7
936136.ARRT01000006_gene2354,ARRT01000006_gene2354,annotation&nbsp;not&nbsp;available,96.7
936136.ARRT01000003_gene6136,ARRT01000003_gene6136,annotation&nbsp;not&nbsp;available,96.7
936136.ARRT01000006_gene5567,ARRT01000006_gene5567,annotation&nbsp;not&nbsp;available,96.7
936136.ARRT01000004_gene6511,ARRT01000004_gene6511,annotation&nbsp;not&nbsp;available,96.7
936136.ARRT01000006_gene1538,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),96.6
936136.ARRT01000004_gene6522,ARRT01000004_gene6522,annotation&nbsp;not&nbsp;available,96.6
936136.ARRT01000006_gene1347,ARRT01000006_gene1347,annotation&nbsp;not&nbsp;available,96.6
936136.ARRT01000002_gene634,ARRT01000002_gene634,10&nbsp;kDa&nbsp;chaperonin,96.6
936136.ARRT01000006_gene5612,ARRT01000006_gene5612,Pyruvate&nbsp;carboxylase,96.6
936136.ARRT01000006_gene1894,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,96.5
936136.ARRT01000006_gene5052,ARRT01000006_gene5052,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene4690,ARRT01000006_gene4690,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene2530,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,96.5
936136.ARRT01000006_gene4227,ARRT01000006_gene4227,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene1513,ARRT01000006_gene1513,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000003_gene6297,ARRT01000003_gene6297,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000002_gene577,ARRT01000002_gene577,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene3976,ARRT01000006_gene3976,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene2811,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,96.5
936136.ARRT01000003_gene6174,ARRT01000003_gene6174,annotation&nbsp;not&nbsp;available,96.5
936136.ARRT01000006_gene2903,ARRT01000006_gene2903,Vitamin&nbsp;B12-dependent&nbsp;ribonucleotide&nbsp;reductase,96.4
936136.ARRT01000006_gene5261,ARRT01000006_gene5261,annotation&nbsp;not&nbsp;available,96.4
936136.ARRT01000006_gene2826,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,96.4
936136.ARRT01000006_gene4001,ARRT01000006_gene4001,annotation&nbsp;not&nbsp;available,96.4
936136.ARRT01000002_gene585,glgE,"Alpha-1,4-glucan:maltose-1-phosphate&nbsp;maltosyltransferase",96.4
936136.ARRT01000006_gene5774,ARRT01000006_gene5774,annotation&nbsp;not&nbsp;available,96.4
936136.ARRT01000002_gene528,ARRT01000002_gene528,annotation&nbsp;not&nbsp;available,96.4
936136.ARRT01000006_gene5071,ARRT01000006_gene5071,annotation&nbsp;not&nbsp;available,96.3
936136.ARRT01000006_gene1527,ARRT01000006_gene1527,annotation&nbsp;not&nbsp;available,96.3
936136.ARRT01000006_gene5051,ARRT01000006_gene5051,annotation&nbsp;not&nbsp;available,96.3
936136.ARRT01000002_gene509,ARRT01000002_gene509,annotation&nbsp;not&nbsp;available,96.3
936136.ARRT01000003_gene6273,ARRT01000003_gene6273,annotation&nbsp;not&nbsp;available,96.3
936136.ARRT01000006_gene5065,ARRT01000006_gene5065,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",96.2
936136.ARRT01000006_gene5726,ARRT01000006_gene5726,annotation&nbsp;not&nbsp;available,96.2
936136.ARRT01000002_gene677,ARRT01000002_gene677,annotation&nbsp;not&nbsp;available,96.2
936136.ARRT01000006_gene5990,rpmI,annotation&nbsp;not&nbsp;available,96.2
936136.ARRT01000006_gene2741,ARRT01000006_gene2741,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;F,96.2
936136.ARRT01000002_gene314,ARRT01000002_gene314,annotation&nbsp;not&nbsp;available,96.1
936136.ARRT01000006_gene4388,ARRT01000006_gene4388,annotation&nbsp;not&nbsp;available,96.1
936136.ARRT01000006_gene4431,hemF,Oxygen-dependent&nbsp;coproporphyrinogen-III&nbsp;oxidase,96.1
936136.ARRT01000006_gene5576,ARRT01000006_gene5576,annotation&nbsp;not&nbsp;available,96.1
936136.ARRT01000007_gene1338,ARRT01000007_gene1338,annotation&nbsp;not&nbsp;available,96.0
936136.ARRT01000001_gene39,ARRT01000001_gene39,annotation&nbsp;not&nbsp;available,96.0
936136.ARRT01000006_gene5559,ARRT01000006_gene5559,annotation&nbsp;not&nbsp;available,96.0
936136.ARRT01000006_gene5914,ARRT01000006_gene5914,annotation&nbsp;not&nbsp;available,95.9
936136.ARRT01000006_gene5138,ARRT01000006_gene5138,annotation&nbsp;not&nbsp;available,95.9
936136.ARRT01000006_gene3564,ARRT01000006_gene3564,annotation&nbsp;not&nbsp;available,95.9
936136.ARRT01000007_gene1026,ARRT01000007_gene1026,annotation&nbsp;not&nbsp;available,95.9
936136.ARRT01000006_gene3798,ARRT01000006_gene3798,annotation&nbsp;not&nbsp;available,95.9
936136.ARRT01000006_gene1670,ARRT01000006_gene1670,annotation&nbsp;not&nbsp;available,95.8
936136.ARRT01000007_gene1138,ARRT01000007_gene1138,annotation&nbsp;not&nbsp;available,95.8
936136.ARRT01000006_gene1697,flgK,annotation&nbsp;not&nbsp;available,95.8
936136.ARRT01000004_gene6505,lcdH,L-carnitine&nbsp;dehydrogenase,95.8
936136.ARRT01000006_gene5845,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,95.8
936136.ARRT01000006_gene4908,ARRT01000006_gene4908,annotation&nbsp;not&nbsp;available,95.8
936136.ARRT01000006_gene1516,ARRT01000006_gene1516,annotation&nbsp;not&nbsp;available,95.8
936136.ARRT01000002_gene448,ARRT01000002_gene448,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000006_gene6036,ARRT01000006_gene6036,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000006_gene4056,ARRT01000006_gene4056,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000006_gene3463,ARRT01000006_gene3463,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000006_gene4816,ARRT01000006_gene4816,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000006_gene4854,ARRT01000006_gene4854,annotation&nbsp;not&nbsp;available,95.7
936136.ARRT01000002_gene695,ARRT01000002_gene695,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000002_gene757,ARRT01000002_gene757,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000003_gene6355,ARRT01000003_gene6355,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000006_gene5723,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,95.6
936136.ARRT01000006_gene1387,ARRT01000006_gene1387,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000006_gene1763,ARRT01000006_gene1763,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000002_gene290,ARRT01000002_gene290,annotation&nbsp;not&nbsp;available,95.6
936136.ARRT01000006_gene4820,ARRT01000006_gene4820,annotation&nbsp;not&nbsp;available,95.5
936136.ARRT01000001_gene67,ARRT01000001_gene67,annotation&nbsp;not&nbsp;available,95.5
936136.ARRT01000007_gene1310,ARRT01000007_gene1310,annotation&nbsp;not&nbsp;available,95.5
936136.ARRT01000006_gene1492,ARRT01000006_gene1492,annotation&nbsp;not&nbsp;available,95.5
936136.ARRT01000006_gene5988,ARRT01000006_gene5988,annotation&nbsp;not&nbsp;available,95.5
936136.ARRT01000006_gene1720,ARRT01000006_gene1720,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene3042,ARRT01000006_gene3042,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene4757,ARRT01000006_gene4757,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene3639,ARRT01000006_gene3639,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene1448,ARRT01000006_gene1448,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000002_gene756,ARRT01000002_gene756,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000004_gene6501,ARRT01000004_gene6501,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000002_gene750,ARRT01000002_gene750,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene5886,ARRT01000006_gene5886,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene2695,ARRT01000006_gene2695,annotation&nbsp;not&nbsp;available,95.4
936136.ARRT01000006_gene2154,ARRT01000006_gene2154,annotation&nbsp;not&nbsp;available,95.3
936136.ARRT01000007_gene1169,ARRT01000007_gene1169,annotation&nbsp;not&nbsp;available,95.3
936136.ARRT01000002_gene425,ARRT01000002_gene425,annotation&nbsp;not&nbsp;available,95.3
936136.ARRT01000006_gene3757,ARRT01000006_gene3757,annotation&nbsp;not&nbsp;available,95.3
936136.ARRT01000006_gene2987,ARRT01000006_gene2987,annotation&nbsp;not&nbsp;available,95.3
936136.ARRT01000007_gene1013,ARRT01000007_gene1013,annotation&nbsp;not&nbsp;available,95.2
936136.ARRT01000006_gene1756,ARRT01000006_gene1756,annotation&nbsp;not&nbsp;available,95.2
936136.ARRT01000006_gene1810,ftsJ,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;E,95.2
936136.ARRT01000006_gene5201,ARRT01000006_gene5201,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,95.2
936136.ARRT01000006_gene2845,ARRT01000006_gene2845,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000006_gene5764,ARRT01000006_gene5764,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000006_gene2546,ARRT01000006_gene2546,Superoxide&nbsp;dismutase&nbsp;[Cu-Zn],95.1
936136.ARRT01000006_gene4337,rpoD,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;RpoD,95.1
936136.ARRT01000006_gene3134,ARRT01000006_gene3134,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000006_gene3588,ARRT01000006_gene3588,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000004_gene6555,ARRT01000004_gene6555,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000003_gene6344,ARRT01000003_gene6344,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000006_gene1865,ARRT01000006_gene1865,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000006_gene1915,glyQ,annotation&nbsp;not&nbsp;available,95.1
936136.ARRT01000007_gene1247,ARRT01000007_gene1247,annotation&nbsp;not&nbsp;available,95.0
936136.ARRT01000006_gene3560,moaA,"GTP&nbsp;3',8-cyclase",95.0
936136.ARRT01000006_gene2299,ARRT01000006_gene2299,annotation&nbsp;not&nbsp;available,95.0
936136.ARRT01000002_gene404,ARRT01000002_gene404,annotation&nbsp;not&nbsp;available,95.0
936136.ARRT01000006_gene5265,argH,annotation&nbsp;not&nbsp;available,94.9
936136.ARRT01000002_gene375,ARRT01000002_gene375,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene5156,ARRT01000006_gene5156,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene1344,rph,Ribonuclease&nbsp;PH,94.8
936136.ARRT01000006_gene5085,ARRT01000006_gene5085,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene1404,ARRT01000006_gene1404,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene4912,ARRT01000006_gene4912,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene2748,ARRT01000006_gene2748,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene1790,ARRT01000006_gene1790,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene4006,ARRT01000006_gene4006,annotation&nbsp;not&nbsp;available,94.8
936136.ARRT01000006_gene2986,argS,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene1772,ARRT01000006_gene1772,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene4999,ARRT01000006_gene4999,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000002_gene443,ARRT01000002_gene443,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene4165,ARRT01000006_gene4165,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000004_gene6460,ARRT01000004_gene6460,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene5112,ARRT01000006_gene5112,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene3812,ARRT01000006_gene3812,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene5773,ARRT01000006_gene5773,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000002_gene605,ARRT01000002_gene605,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene2147,ARRT01000006_gene2147,annotation&nbsp;not&nbsp;available,94.7
936136.ARRT01000006_gene3681,ARRT01000006_gene3681,annotation&nbsp;not&nbsp;available,94.6
936136.ARRT01000006_gene4362,ARRT01000006_gene4362,annotation&nbsp;not&nbsp;available,94.6
